tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
602,12/1/19 12:00 AM,12/1/19 12:10 AM,3382,Carroll St & Smith St,40.680611,-73.99475825,3304,6 Ave & 9 St,40.668127,-73.98377641,41932,Subscriber,1970,male
1206,12/1/19 12:00 AM,12/1/19 12:20 AM,362,Broadway & W 37 St,40.75172632,-73.98753523,500,Broadway & W 51 St,40.76228826,-73.98336183,18869,Customer,1999,male
723,12/1/19 12:00 AM,12/1/19 12:12 AM,146,Hudson St & Reade St,40.71625008,-74.0091059,238,Bank St & Washington St,40.7361967,-74.00859207,15334,Subscriber,1997,male
404,12/1/19 12:00 AM,12/1/19 12:06 AM,3834,Irving Ave & Halsey St,40.69467,-73.90663,3827,Halsey St & Broadway,40.68565,-73.91564,41692,Customer,1995,male
1059,12/1/19 12:00 AM,12/1/19 12:17 AM,500,Broadway & W 51 St,40.76228826,-73.98336183,3323,W 106 St & Central Park West,40.7981856,-73.9605909,40156,Subscriber,1961,male
1257,12/1/19 12:00 AM,12/1/19 12:21 AM,340,Madison St & Clinton St,40.71269042,-73.98776323,340,Madison St & Clinton St,40.71269042,-73.98776323,40829,Subscriber,1994,male
624,12/1/19 12:00 AM,12/1/19 12:10 AM,469,Broadway & W 53 St,40.76344058,-73.98268129,526,E 33 St & 5 Ave,40.74765947,-73.98490707,24934,Subscriber,1983,male
578,12/1/19 12:00 AM,12/1/19 12:10 AM,3382,Carroll St & Smith St,40.680611,-73.99475825,3304,6 Ave & 9 St,40.668127,-73.98377641,38966,Subscriber,1980,male
431,12/1/19 12:00 AM,12/1/19 12:07 AM,448,W 37 St & 10 Ave,40.75660359,-73.9979009,72,W 52 St & 11 Ave,40.76727216,-73.99392888,38780,Subscriber,1986,male
1223,12/1/19 12:00 AM,12/1/19 12:21 AM,465,Broadway & W 41 St,40.75513557,-73.98658032,359,E 47 St & Park Ave,40.75510267,-73.97498696,16810,Customer,1982,male
953,12/1/19 12:00 AM,12/1/19 12:16 AM,465,Broadway & W 41 St,40.75513557,-73.98658032,440,E 45 St & 3 Ave,40.75255434,-73.97282625,29958,Subscriber,1991,male
733,12/1/19 12:00 AM,12/1/19 12:13 AM,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,3307,West End Ave & W 94 St,40.7941654,-73.974124,16087,Subscriber,1978,female
791,12/1/19 12:00 AM,12/1/19 12:14 AM,446,W 24 St & 7 Ave,40.74487634,-73.99529885,518,E 39 St & 2 Ave,40.74780373,-73.9734419,38960,Subscriber,1982,male
1057,12/1/19 12:00 AM,12/1/19 12:18 AM,500,Broadway & W 51 St,40.76228826,-73.98336183,466,W 25 St & 6 Ave,40.74395411,-73.99144871,38841,Subscriber,1993,male
294,12/1/19 12:00 AM,12/1/19 12:05 AM,223,W 13 St & 7 Ave,40.73781509,-73.99994661,285,Broadway & E 14 St,40.73454567,-73.99074142,40109,Subscriber,1966,female
378,12/1/19 12:01 AM,12/1/19 12:07 AM,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,401,Allen St & Rivington St,40.72019576,-73.98997825,16736,Subscriber,1991,male
370,12/1/19 12:01 AM,12/1/19 12:07 AM,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,401,Allen St & Rivington St,40.72019576,-73.98997825,17278,Subscriber,1993,female
414,12/1/19 12:01 AM,12/1/19 12:08 AM,505,6 Ave & W 33 St,40.74901271,-73.98848395,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,33244,Subscriber,1987,male
482,12/1/19 12:01 AM,12/1/19 12:09 AM,458,11 Ave & W 27 St,40.751396,-74.005226,247,Perry St & Bleecker St,40.73535398,-74.00483091,32314,Subscriber,1994,male
1570,12/1/19 12:01 AM,12/1/19 12:28 AM,309,Murray St & West St,40.7149787,-74.013012,514,12 Ave & W 40 St,40.76087502,-74.00277668,41997,Customer,1973,male
1297,12/1/19 12:02 AM,12/1/19 12:23 AM,302,Avenue D & E 3 St,40.72082834,-73.97793172,388,W 26 St & 10 Ave,40.74971775,-74.00295035,40842,Subscriber,1985,female
633,12/1/19 12:02 AM,12/1/19 12:12 AM,3134,3 Ave & E 62 St,40.76312584,-73.96526895,447,8 Ave & W 52 St,40.76370739,-73.9851615,29984,Customer,1998,male
540,12/1/19 12:02 AM,12/1/19 12:11 AM,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,30300,Subscriber,1973,female
375,12/1/19 12:02 AM,12/1/19 12:08 AM,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,3116,Huron St & Franklin St,40.73266,-73.95826,32110,Subscriber,1991,female
1372,12/1/19 12:02 AM,12/1/19 12:25 AM,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,174,E 25 St & 1 Ave,40.7381765,-73.97738662,40346,Subscriber,1985,female
574,12/1/19 12:02 AM,12/1/19 12:12 AM,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,317,E 6 St & Avenue B,40.72453734,-73.98185424,27633,Subscriber,1987,male
1205,12/1/19 12:02 AM,12/1/19 12:22 AM,3329,Degraw St & Smith St,40.6829151,-73.99318208,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,39072,Subscriber,1969,male
69,12/1/19 12:02 AM,12/1/19 12:04 AM,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3552,W 113 St & Broadway,40.805973,-73.964928,21308,Subscriber,1995,male
174,12/1/19 12:02 AM,12/1/19 12:05 AM,312,Allen St & Stanton St,40.722055,-73.989111,439,E 4 St & 2 Ave,40.7262807,-73.98978041,16309,Subscriber,1980,male
